CN_spw92, -11.0994, 0.0000, -11.0994, 0.0000, 0.0000, -9.4022
CN_TPSS_aug-pc-4, -10.9849, -0.0000, -10.9849, -0.0000, -0.0000, -9.1617
CN_wB97M-V_aug-pc-4, -11.1850, 0.0000, -11.1850, -0.0000, -0.0000, -8.7858
CN_wB97X-D_aug-pc-4, -10.9962, -0.0000, -10.9962, -0.0000, 0.0000, -8.6203
CN_wB97X-V_aug-pc-4, -11.0999, 0.0000, -11.0999, 0.0000, -0.0000, -8.7630
CO_B3LYP_aug-pc-4, -10.3071, 0.0000, -10.3071, 0.0000, 0.0000, -12.2220
CO_B97M-rV_aug-pc-4, -10.2138, 0.0000, -10.2138, 0.0000, -0.0000, -12.1575
CO_B97M-V_aug-pc-4, -10.2125, 0.0000, -10.2125, 0.0000, -0.0000, -12.1567
CO_M08-HX_aug-pc-4, -10.2928, 0.0000, -10.2928, 0.0000, -0.0000, -12.2203
CO_mPW91_aug-pc-4, -10.2977, 0.0000, -10.2977, 0.0000, 0.0000, -12.0422
CO_pbe0, -10.2495, -0.0000, -10.2495, -0.0000, -0.0000, -12.1149
CO_pbe, 
CO_scan0, 
CO_scan, 
CO_spw92, 
CO_TPSS_aug-pc-4, -10.2421, -0.0000, -10.2421, 0.0000, -0.0000, -12.0603
CO_wB97M-V_aug-pc-4, -10.3778, -0.0000, -10.3778, 0.0000, -0.0000, -12.2395
CO_wB97X-D_aug-pc-4, -10.2096, -0.0000, -10.2096, -0.0000, -0.0000, -12.0847
CO_wB97X-V_aug-pc-4, -10.3119, -0.0000, -10.3119, -0.0000, 0.0000, -12.2139
CO2_pbe0, -14.8040, 0.0000, -14.8040, 0.0000, -0.0000, -19.1344
CO2_pbe, -14.8921, 0.0000, -14.8921, 0.0000, -0.0000, -19.0250
CO2_scan0, -14.7341, -0.0000, -14.7341, 0.0000, -0.0000, -19.1689
CO2_scan, -14.7487, 0.0000, -14.7487, 0.0000, 0.0000, -19.0381
CO2_spw92, -14.9412, -0.0000, -14.9412, -0.0000, -0.0000, -19.0948
FCN_B3LYP_aug-pc-4, -15.2812, 0.0000, -15.2812, -0.0000, -0.0000, -18.5500
FCN_B97M-V_aug-pc-4, -15.1815, -0.0000, -15.1815, 0.0000, 0.0000, -18.2293
FCN_M08-HX_aug-pc-4, -15.3035, -0.0000, -15.3035, -0.0000, 0.0000, -18.5337
FCN_mPW91_aug-pc-4, -15.2466, -0.0000, -15.2466, 0.0000, -0.0000, -18.2963
FCN_TPSS_aug-pc-4, -15.2092, -0.0000, -15.2092, 0.0000, -0.0000, -18.2449
FCN_wB97X-D_aug-pc-4, -15.1492, -0.0000, -15.1492, -0.0000, 0.0000, -18.3158
FCN_wB97X-V_aug-pc-4, -15.2933, -0.0000, -15.2933, -0.0000, -0.0000, -18.5093
H2O_pbe0, -7.7221, 0.0000, -4.4151, -0.0000, -0.0000, -6.4041
H2O_pbe, -7.8655, -0.0000, -4.5551, 0.0000, -0.0000, -6.5422
H2O_scan0, -7.6444, -0.0000, -4.3287, -0.0000, -0.0000, -6.3300
H2O_scan, -7.7121, 0.0000, -4.3967, -0.0000, -0.0000, -6.3978
H2O_spw92, -7.9154, -0.0000, -4.5441, 0.0000, -0.0000, -6.5732
HCO_pbe0, -11.1965, 0.6045, -13.3959, 0.0000, 0.0000, -10.9979
HCO_pbe, -11.3297, 0.5232, -13.4070, -0.0000, -0.0000, -11.0841
HCO_scan0, -11.1482, 0.6675, -13.3737, -0.0000, -0.0000, -10.9336
HCO_scan, -11.1987, 0.6056, -13.3324, 0.0000, -0.0000, -10.9462
HCO_spw92, -11.3068, 0.5120, -13.4954, -0.0000, 0.0000, -11.1587
HF_pbe0, -5.8424, -0.0000, -5.8424, 0.0000, 0.0000, -3.3984
HF_pbe, -5.9524, 0.0000, -5.9524, 0.0000, 0.0000, -3.5354
HF_scan0, -5.7752, -0.0000, -5.7752, 0.0000, -0.0000, -3.3137
HF_scan, -5.8293, -0.0000, -5.8293, -0.0000, 0.0000, -3.3895
HF_spw92, -5.9767, -0.0000, -5.9767, 0.0000, 0.0000, -3.5143
HO2_B3LYP_aug-pc-4, -10.0634, 1.6368, -11.1131, 0.0000, 0.0000, -11.1327
HO2_B97M-rV_aug-pc-4, 
HO2_B97M-V_aug-pc-4, 
HO2_M08-HX_aug-pc-4, -9.9493, 1.6922, -11.0600, -0.0000, -0.0000, -11.1366
HO2_mPW91_aug-pc-4, -10.1451, 1.5830, -11.1207, 0.0000, 0.0000, -11.1385
HO2_pbe0, -9.9779, 1.6442, -10.9945, 0.0000, -0.0000, -11.0669
HO2_pbe, -10.1910, 1.5820, -11.1567, 0.0000, 0.0000, -11.1815
HO2_scan0, -9.8657, 1.6664, -10.8852, -0.0000, -0.0000, -10.9758
HO2_scan, -9.9793, 1.6211, -10.9440, 0.0000, 0.0000, -11.0158
HO2_spw92, -10.1996, 1.6418, -11.1893, -0.0000, 0.0000, -11.2443
HO2_TPSS_aug-pc-4, -10.0867, 1.5898, -11.0547, 0.0000, -0.0000, -11.0887
HO2_wB97M-V_aug-pc-4, -10.0902, 1.6577, -11.1043, 0.0000, 0.0000, -11.2009
HO2_wB97X-D_aug-pc-4, -9.9071, 1.6610, -10.9246, 0.0000, -0.0000, -11.0135
HO2_wB97X-V_aug-pc-4, -10.0368, 1.6633, -11.0573, -0.0000, 0.0000, -11.1388
N2_pbe0, -10.2710, 0.0000, -10.2710, -0.0000, 0.0000, -11.7169
N2_pbe, -10.3096, 0.0000, -10.3096, -0.0000, -0.0000, -11.8471
N2_scan0, -10.2310, -0.0000, -10.2310, -0.0000, 0.0000, -11.6512
N2_scan, -10.2122, 0.0000, -10.2122, 0.0000, -0.0000, -11.7261
N2_spw92, -10.3594, -0.0000, -10.3594, -0.0000, -0.0000, -11.8892
OF_B3LYP_aug-pc-4, -9.5287, -0.0000, -10.4997, -0.0000, 0.0000, -9.7494
OF_B97M-V_aug-pc-4, -9.4360, -0.0000, -10.4366, 0.0000, 0.0000, -9.5871
