method,,HF,HF,HF,MP2,MP2,MP2,CCSD,CCSD,CCSD,CCSD\(T\),CCSD\(T\),CCSD\(T\)
component,,XX,YY,ZZ,XX,YY,ZZ,XX,YY,ZZ,XX,YY,ZZ
molecule,basis,,,,,,,,,,,,
HCN,5Z,0,0,0,0,0,0,0,0,0,0,0,0
HCN,QZ,0.797560649,0.797560649,1.507452023,0.789835604,0.789835604,1.514043575,0.789580085,0.789580085,1.511612615,0.789867256,0.789867256,1.512799281
HCN,TZ,0.797723766,0.797723766,1.507514716,0.791150338,0.791150338,1.514826518,0.790802666,0.790802666,1.51240272,0.79117968,0.79117968,1.513634778
HCN,CBS,0.797560649,0.797560649,1.507452023,0.788995235,0.788995235,1.513517987,0.788806962,0.788806962,1.5110818,0.789028572,0.789028572,1.512235343
He,5Z,0.628556821,0.628556821,0.628556821,0.629742514,0.629742514,0.629742514,0.631011597,0.631011597,0.631011597,0.631011597,0.631011597,0.631011597
He,QZ,0.628704658,0.628704658,0.628704658,0.630079863,0.630079863,0.630079863,0.631348269,0.631348269,0.631348269,0.631348269,0.631348269,0.631348269
He,TZ,0.629029776,0.629029776,0.629029776,0.630991788,0.630991788,0.630991788,0.632238593,0.632238593,0.632238593,0.632238593,0.632238593,0.632238593
He,CBS,0.628556821,0.628556821,0.628556821,0,0,0,0,0,0,0,0,0
HF,5Z,0.650139634,0.650139634,0.725872314,0.660420848,0.660420848,0.734828757,0.656388367,0.656388367,0.732606844,0.657879694,0.657879694,0.734073139
HF,QZ,0.650396886,0.650396886,0.725946125,0.660905211,0.660905211,0.735244202,0.656970844,0.656970844,0.733046922,0.658445664,0.658445664,0.734515648
HF,TZ,0.650768291,0.650768291,0.726293698,0.66187665,0.66187665,0.723064187,0.658221613,0.658221613,0.721042172,0.65965953,0.65965953,0.722638788
HF,CBS,0.650139634,0.650139634,0.725872314,0.660883775,0.660883775,0.735000841,0.656779697,0.656779697,0.732760951,0.658283069,0.658283069,0.734225473
HNC,5Z,0,0,0,0,0,0,0,0,0,0,0,0
HNC,QZ,0.804076004,0.804076004,1.491672961,0.802737033,0.802737033,1.495436396,0.800527252,0.800527252,1.492982536,0.801033455,0.801033455,1.494065535
HNC,TZ,0.804290623,0.804290623,1.491792335,0.804068425,0.804068425,1.496359335,0.801851179,0.801851179,1.493989328,0.80241441,0.80241441,1.495111844
HNC,CBS,0.804076004,0.804076004,1.491672961,0.801922089,0.801922089,1.49485001,0.799717757,0.799717757,1.492334961,0.800182345,0.800182345,1.493389123
LiBH4,5Z,0,0,0,0,0,0,0,0,0,0,0,0
LiBH4,QZ,0,0,0,0,0,0,0,0,0,0,0,0
LiBH4,TZ,1.207984356,1.207976397,1.816940483,1.207349309,1.207339666,1.818176646,1.2059629,1.205953246,1.817065788,1.206510403,1.206502479,1.817643482
